LP,Ebene3_ID,Ebene2_ID,Ebene1_ID,Bezeichnung,Ebene3_Name,Ebene2_Name,Ebene1_Name,Kapitel/Titel
A10000,A100,A1,A,Grundfinanzierung MPG,Grundfinanzierung MPG,Grundfinanzierung MPG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300389440
A20000,A200,A2,A,Grundfinanzierung DFG,Grundfinanzierung DFG,Grundfinanzierung DFG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300389430
A30000,A300,A3,A,Grundfinanzierung FhG,Grundfinanzierung FhG,Grundfinanzierung FhG,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300489460
A40000,A300,A4,A,Umstrukturierung der Forschung im Beitrittsgebiet,Grundfinanzierung FhG,Umstrukturierung der Forschung im Beitrittsgebiet,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300489460
A50000,A500,A5,A,Aus- und Neubau von Hochschulen,Aus- und Neubau von Hochschulen,Aus- und Neubau von Hochschulen,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A61000,A500,A6,A,Hochschulsonderprogramm I (HSP I),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A62000,A500,A6,A,Hochschulsonderprogramm II (HSP II),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A63000,A500,A6,A,Hochschulerneuerungsprogramm (HEP),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A64000,A500,A6,A,Hochschulsonderprogramm III (HSP III),Aus- und Neubau von Hochschulen,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A65000,A650,A6,A,DFG - Sonderprogramme,DFG - Sonderprogramme,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300388207
A66010,A660,A6,A,Hochschulpakt 2020,Hochschulpakt 2020,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368505
A66091,A660,A6,A,"Projektbegleiter und externe Einzelgutachter (PB,RE)",Hochschulpakt 2020,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368505
A67000,A670,A6,A,Qualitätspakt Lehre,Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A67090,A670,A6,A,Projektstabskosten,Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A67092,A670,A6,A,Beratungsgremien (SK),Qualitätspakt Lehre,Überwiegend hochschulbezogene Sonderprogramme,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368515
A70000,A700,A7,A,Förderung von Spitzenuniversitäten,Förderung von Spitzenuniversitäten,Förderung von Spitzenuniversitäten,Trägerorganisationen; Umstrukturierung der Forschung im Beitrittsgebiet; Hochschulbau und überwiegend hochschulbezogene Sonderprogramme,300368504
B01011,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01012,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01013,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01014,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten an anderen Zentren,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B01019,B010,B0,B,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,Struktur und Wechselwirkung fundamentaler Teilchen,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02021,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten beim CERN,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02022,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten bei SIN/PSI,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02023,B020,B0,B,Hadronen- und Kernphysik - Aktivitäten an anderen internationalen Beschleunigern,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
B02024,B020,B0,B,Hadronen- und Kernphysik - Anwendungen kernphysikalischer Methoden,Hadronen- und Kernphysik,Großgeräte der Grundlagenforschung,Großgeräte der Grundlagenforschung,300489450
